flow_id,attribute,value,source,comment
elec,name,Electricity,,
elec,default_unit,MWh,,
heat,default_unit,MWh,,
h2,name,Hydrogen,,
h2,default_unit,MWh;LHV,,
h2,energycontent_LHV,113725.490196078 Btu/kg,Wang2023,calculated from values Energy/volume and density given in the source
h2,energycontent_HHV,134509.803921569 Btu/kg,Wang2023,calculated from values Energy/volume and density given in the source
h2,density_norm,0.083752 kg/m³,Lemmon2023,
h2,density_std,0.089883 kg/m³,Lemmon2023,
h2,c_ratio,0.00%,,
h2,h_ratio,100.00%,,
h2,o_ratio,0.00%,,
lh2,name,Liquid hydrogen,,
lh2,default_unit,MWh;LHV,,
lh2,energycontent_LHV,113805.970149254 Btu/kg,Wang2023,calculated from values Energy/volume and density given in the source
lh2,energycontent_HHV,134402.985074627 Btu/kg,Wang2023,calculated from values Energy/volume and density given in the source
lh2,c_ratio,0.00%,Wang2023,
lh2,h_ratio,100.00%,,
lh2,o_ratio,0.00%,,
nh3,name,Ammonia,,
nh3,default_unit,t,,
nh3,energycontent_LHV,18.90 MJ/kg,H2tools2023,
nh3,energycontent_HHV,22.50 MJ/kg,H2tools2023,
nh3,density_norm,0.71606  kg/m³,Lemmon2023,
nh3,density_std,0.77155  kg/m³,Lemmon2023,
nh3,c_ratio,0.00%,Wang2023,
nh3,h_ratio,17.65%,,
nh3,o_ratio,0.00%,,
ch4,name,Methane,,
ch4,default_unit,MWh;LHV,,
ch4,energycontent_LHV,47390.8561333507 Btu/kg,Wang2023,calculated from values Energy/volume and density given in the source
ch4,energycontent_HHV,52603.8503080192 Btu/kg,Wang2023,calculated from values Energy/volume and density given in the source
ch4,density_norm,0.66816 kg/m³,Lemmon2023,
ch4,density_std,0.71746 kg/m³,Lemmon2023,
ch4,c_ratio,75.00%,Wang2023,
ch4,h_ratio,25.00%,,
ch4,o_ratio,0.00%,,
meoh,name,Methanol,,
meoh,default_unit,MWh;LHV,,
meoh,energycontent_LHV,19045.2428476381 Btu/kg,Wang2023,calculated from values Energy/volume and density given in the source
meoh,energycontent_HHV,21689.9534264804 Btu/kg,Wang2023,calculated from values Energy/volume and density given in the source
meoh,density_norm,791.01 kg/m³,Lemmon2023,
meoh,density_std,809.73 kg/m³,Lemmon2023,
meoh,c_ratio,37.50%,Wang2023,
meoh,h_ratio,12.60%,,
meoh,o_ratio,49.90%,,
etoh,name,Ethanol,,
etoh,default_unit,MWh;LHV,,
etoh,energycontent_LHV,25545.515394913 Btu/kg,Wang2023,calculated from values Energy/volume and density given in the source
etoh,energycontent_HHV,28289.8259705489 Btu/kg,Wang2023,calculated from values Energy/volume and density given in the source
etoh,density_norm,0.78945 g/cm^3,Speight2017,
etoh,density_std,0.80625 g/cm^3,Speight2017,
etoh,c_ratio,52.10%,,
etoh,h_ratio,13.20%,,
etoh,o_ratio,34.70%,,
buoh,name,Butanol,,
buoh,default_unit,MWh;LHV,,
buoh,energycontent_LHV,32573.2463295269,Wang2023,calculated from values Energy/volume and density given in the source
buoh,energycontent_HHV,35385.9706362153,Wang2023,calculated from values Energy/volume and density given in the source
buoh,density_norm,0.8095 g/cm^3,Haynes204,
buoh,c_ratio,64.80%,,
buoh,h_ratio,13.60%,,
buoh,o_ratio,21.60%,,
ng,name,Natural gas,,
ng,default_unit,MWh;LHV,,
ng,energycontent_LHV,44681.8181818182 Btu/kg,Wang2023,calculated from values Energy/volume and density given in the source
ng,energycontent_HHV,49500 Btu/kg,Wang2023,calculated from values Energy/volume and density given in the source
ng,density_norm,22 g/ft^3,Wang2023,"not explicitly given if NTP or STP, assumed that value does not change much in this temperature range"
ng,density_std,22 g/ft^3,Wang2023,"not explicitly given if NTP or STP, assumed that value does not change much in this temperature range"
ng,c_ratio,72.40%,Wang2023,
coal,name,Coal,,
coal,default_unit,MWh;LHV,,
coal,energycontent_LHV,22732 MJ/kg,Boundy2011,
coal,energycontent_HHV,23968 MJ/kg,Boundy2011,
coal,c_ratio,58.60%,Wang2023,
co2,name,Purified CO2,,
co2,default_unit,t,,
co2,density_norm,1.8393 kg/m³,Lemmon2023,
co2,density_std,1.9768 kg/m³,Lemmon2023,
co2,c_ratio,27.30%,Wang2023,
co2,h_ratio,0.00%,,
co2,o_ratio,72.70%,,
ironore,name,Iron ore,,
ironore,default_unit,t,,
dri,name,Directly reduced iron,,
dri,default_unit,t,,
alloys,name,Alloys,,
alloys,default_unit,t,,
lime,name,Lime,,
lime,default_unit,t,,
steelliq,name,Liquid steel,,
steelliq,default_unit,t,,
steelslab,name,Steel slab,,
steelslab,default_unit,t,,
steelhrc,name,Hot_rolled coil,,
steelhrc,default_unit,t,,
steelscrap,name,Steel scrap,,
steelscrap,default_unit,t,,
hvcs,name,Higher_value chemicals,,
hvcs,default_unit,t,,
urea,name,Urea,,
urea,default_unit,t,,
urea,density_norm,1.34 g/cm³,,
urea,density_std,1.34 g/cm³,,
urea,c_ratio,20.00%,,
urea,h_ratio,6.70%,,
urea,o_ratio,26.60%,,
water,name,Water,,
water,default_unit,t,,
water,density_norm,998.21  kg/m³,Lemmon2023,
water,density_std,999.84 kg/m^3,Lemmon2023,
water,c_ratio,0.00%,,
water,h_ratio,11.11%,,
water,o_ratio,89.90%,,
oxygen,name,Oxygen,,
oxygen,default_unit,t,,
oxygen,density_norm,1.3312 kg/m³,Lemmon2023,
oxygen,density_std,1.4290 kg/m³,Lemmon2023,
oxygen,c_ratio,0.00%,,
oxygen,h_ratio,0.00%,,
oxygen,o_ratio,100.00%,,
nitrogen,name,Nitrogen,,
nitrogen,default_unit,t,,
nitrogen,density_norm,1.1648 kg/m³,Lemmon2023,
nitrogen,density_std,1.2505 kg/m³,Lemmon2023,
nitrogen,c_ratio,0.00%,,
nitrogen,h_ratio,0.00%,,
nitrogen,o_ratio,0.00%,,
graph_electr,name,Graphite electrodes,,
graph_electr,default_unit,t,,
steam,name,Steam,,
steam,default_unit,MWh,,
ft_fuel,name,Fischer_Tropsch diesel,,
ft_fuel,default_unit,MWh;LHV,,
ft_fuel,energycontent_LHV,40991.0507126284 Btu/kg,Wang2023,calculated from values Energy/volume and density given in the source
ft_fuel,energycontent_HHV,43099.1050712628 Btu/kg,Wang2023,calculated from values Energy/volume and density given in the source
ft_fuel,density_norm,3017 g/gal,Wang2023,"not explicitly given if NTP or STP, assumed that value does not change much in this temperature range"
ft_fuel,density_std,3017 g/gal,Wang2023,"not explicitly given if NTP or STP, assumed that value does not change much in this temperature range"
ft_fuel,c_ratio,85.30%,Wang2023,
gasoline,name,Gasoline,,
gasoline,default_unit,MWh;LHV,,
gasoline,energycontent_LHV,39566.5903267148 Btu/kg,Wang2023,calculated from values Energy/volume and density given in the source
gasoline,energycontent_HHV,42474.3384203907 Btu/kg,Wang2023,calculated from values Energy/volume and density given in the source
gasoline,density_norm,702.61 kg/m³,Lemmon2023,
gasoline,density_std,718.61  kg/m³,Lemmon2023,
gasoline,c_ratio,82.80%,Wang2023,
crude_oil,name,Crude oil,,
crude_oil,default_unit,MWh;LHV,,
crude_oil,energycontent_LHV,40458.6583463339 Btu/kg,Wang2023,calculated from values Energy/volume and density given in the source
crude_oil,energycontent_HHV,43166.9266770671 Btu/kg,Wang2023,calculated from values Energy/volume and density given in the source
crude_oil,density_norm,3205 g/gal,Wang2023,"not explicitly given if NTP or STP, assumed that value does not change much in this temperature range"
crude_oil,density_std,3205 g/gal,Wang2023,"not explicitly given if NTP or STP, assumed that value does not change much in this temperature range"
crude_oil,c_ratio,85.30%,Wang2023,
bitumen,name,Bitumen,,
bitumen,default_unit,MWh;LHV,,
bitumen,energycontent_LHV,39683.207193278 Btu/kg,Wang2023,calculated from values Energy/volume and density given in the source
bitumen,energycontent_HHV,42441.9328270353 Btu/kg,Wang2023,calculated from values Energy/volume and density given in the source
bitumen,density_norm,3830.682125 g/gal,Wang2023,"not explicitly given if NTP or STP, assumed that value does not change much in this temperature range"
bitumen,density_std,3830.682125 g/gal,Wang2023,"not explicitly given if NTP or STP, assumed that value does not change much in this temperature range"
bitumen,c_ratio,83.00%,Wang2023,
diesel,name,diesel,,
diesel,default_unit,MWh;LHV,,
diesel,energycontent_LHV,40558.8885380486 Btu/kg,Wang2023,calculated from values Energy/volume and density given in the source
diesel,energycontent_HHV,43378.5917271866 Btu/kg,Wang2023,calculated from values Energy/volume and density given in the source
diesel,density_norm,3167 g/gal,Wang2023,"not explicitly given if NTP or STP, assumed that value does not change much in this temperature range"
diesel,density_std,3167 g/gal,Wang2023,"not explicitly given if NTP or STP, assumed that value does not change much in this temperature range"
diesel,c_ratio,86.50%,Wang2023,
residual_oil,name,residual oil,,
residual_oil,default_unit,MWh;LHV,,
residual_oil,energycontent_LHV,37407.3886463736 Btu/kg,Wang2023,calculated from values Energy/volume and density given in the source
residual_oil,energycontent_HHV,40007.9957356077 Btu/kg,Wang2023,calculated from values Energy/volume and density given in the source
residual_oil,density_norm,3752 g/gal,Wang2023,"not explicitly given if NTP or STP, assumed that value does not change much in this temperature range"
residual_oil,density_std,3752 g/gal,Wang2023,"not explicitly given if NTP or STP, assumed that value does not change much in this temperature range"
residual_oil,c_ratio,86.80%,Wang2023,
bunker_fuel,name,Bunker fuel for ocean tanker,,
bunker_fuel,default_unit,MWh;LHV,,
bunker_fuel,energycontent_LHV,37407.3886463736 Btu/kg,Wang2023,calculated from values Energy/volume and density given in the source
bunker_fuel,energycontent_HHV,40007.9957356077 Btu/kg,Wang2023,calculated from values Energy/volume and density given in the source
bunker_fuel,density_norm,3752 g/gal,Wang2023,"not explicitly given if NTP or STP, assumed that value does not change much in this temperature range"
bunker_fuel,density_std,3752 g/gal,Wang2023,"not explicitly given if NTP or STP, assumed that value does not change much in this temperature range"
bunker_fuel,c_ratio,86.80%,Wang2023,
lpg,name,Liquefied petroleum gas,,
lpg,default_unit,MWh;LHV,,
lpg,energycontent_LHV,44175.7670306812 Btu/kg,Wang2023,calculated from values Energy/volume and density given in the source
lpg,energycontent_HHV,47535.1014040562 Btu/kg,Wang2023,calculated from values Energy/volume and density given in the source
lpg,c_ratio,82.00%,Wang2023,
lng,name,Liquefied natural gas,,
lng,default_unit,MWh;LHV,,
lng,energycontent_LHV,46095.0030845157 Btu/kg,Wang2023,calculated from values Energy/volume and density given in the source
lng,energycontent_HHV,52325.7248611968 Btu/kg,Wang2023,calculated from values Energy/volume and density given in the source
lng,c_ratio,75.00%,Wang2023,
dme,name,Dimethyl ether,,
dme,default_unit,MWh;LHV,,
dme,energycontent_LHV,27374.9007148531 Btu/kg,Wang2023,calculated from values Energy/volume and density given in the source
