subtech,size,variable,reference_variable,period,value,uncertainty,unit,reference_value,reference_unit,comment,source,source_detail
AEL,100 MW,CAPEX,Input Capacity|Electricity,2020,400.0,0.0,EUR_2020,1.0,kW,,Vartiainen22,"Page 4, Figure 4"
AEL,100 MW,CAPEX,Input Capacity|Electricity,2030,240.0,50.0,EUR_2020,1.0,kW,,Vartiainen22,"Page 4, Figure 4"
AEL,100 MW,CAPEX,Input Capacity|Electricity,2040,140.0,75.0,EUR_2020,1.0,kW,,Vartiainen22,"Page 4, Figure 4"
AEL,100 MW,CAPEX,Input Capacity|Electricity,2050,80.0,75.0,EUR_2020,1.0,kW,,Vartiainen22,"Page 4, Figure 4"
AEL,100 MW,CAPEX,Input Capacity|Electricity,2020,663.0,,EUR_2020,1.0,kW,,Holst21,Appendix A
AEL,100 MW,CAPEX,Input Capacity|Electricity,2030,444.0,,EUR_2020,1.0,kW,,Holst21,Appendix A
PEM,100 MW,CAPEX,Input Capacity|Electricity,2020,718.0,,EUR_2020,1.0,kW,,Holst21,Appendix A
PEM,100 MW,CAPEX,Input Capacity|Electricity,2030,502.0,,EUR_2020,1.0,kW,,Holst21,Appendix A
AEL,5 MW,CAPEX,Input Capacity|Electricity,2020,949.0,,EUR_2020,1.0,kW,,Holst21,Appendix A
AEL,5 MW,CAPEX,Input Capacity|Electricity,2030,726.0,,EUR_2020,1.0,kW,,Holst21,Appendix A
PEM,5 MW,CAPEX,Input Capacity|Electricity,2020,978.0,,EUR_2020,1.0,kW,,Holst21,Appendix A
PEM,5 MW,CAPEX,Input Capacity|Electricity,2030,718.0,,EUR_2020,1.0,kW,,Holst21,Appendix A
AEL,*,CAPEX,Input Capacity|Electricity,2030,536.0,152.0,USD_2021,1.0,kW,,IRENA22,Page 23
AEL,*,CAPEX,Input Capacity|Electricity,2050,230.0,96.0,USD_2021,1.0,kW,,IRENA22,Page 23
AEL,130000 Nm³/h,CAPEX,Input Capacity|Electricity,2020,1150.0,350.0,EUR_2019,1.0,kW,,Tenhumberg20,"Table 2, Page 1588 (3/10)"
PEM,130000 Nm³/h,CAPEX,Input Capacity|Electricity,2020,1750.0,350.0,EUR_2019,1.0,kW,,Tenhumberg20,"Table 2, Page 1588 (3/10)"
SOEC,130000 Nm³/h,CAPEX,Input Capacity|Electricity,2020,2000.0,,EUR_2019,1.0,kW,Provided as a lower threshold,Tenhumberg20,"Table 2, Page 1588 (3/10)"
AEL,130000 Nm³/h,CAPEX,Input Capacity|Electricity,2030,450.0,,EUR_2019,1.0,kW,,Tenhumberg20,"Supplement, Table S2, Page 3"
PEM,130000 Nm³/h,CAPEX,Input Capacity|Electricity,2030,810.0,,EUR_2019,1.0,kW,,Tenhumberg20,"Supplement, Table S2, Page 3"
SOEC,130000 Nm³/h,CAPEX,Input Capacity|Electricity,2030,800.0,,EUR_2019,1.0,kW,,Tenhumberg20,"Supplement, Table S2, Page 3"
AEL,1 MW,CAPEX,Output Capacity|Hydrogen,2020,1566.0,918.0,EUR_2020,1.0,kg/d,,DEARF23,"Sheet 86 AEC 1MW, Row 24"
AEL,1 MW,CAPEX,Output Capacity|Hydrogen,2030,1164.0,,EUR_2020,1.0,kg/d,,DEARF23,"Sheet 86 AEC 1MW, Row 24"
AEL,1 MW,CAPEX,Output Capacity|Hydrogen,2040,874.0,,EUR_2020,1.0,kg/d,,DEARF23,"Sheet 86 AEC 1MW, Row 24"
AEL,1 MW,CAPEX,Output Capacity|Hydrogen,2050,648.0,438.0,EUR_2020,1.0,kg/d,,DEARF23,"Sheet 86 AEC 1MW, Row 24"
AEL,100 MW,CAPEX,Output Capacity|Hydrogen,2020,1358.0,374.0,EUR_2020,1.0,kg/d,,DEARF23,"Sheet 86 AEC 100MW, Row 24"
AEL,100 MW,CAPEX,Output Capacity|Hydrogen,2030,919.0,,EUR_2020,1.0,kg/d,,DEARF23,"Sheet 86 AEC 100MW, Row 24"
AEL,100 MW,CAPEX,Output Capacity|Hydrogen,2040,583.0,,EUR_2020,1.0,kg/d,,DEARF23,"Sheet 86 AEC 100MW, Row 24"
AEL,100 MW,CAPEX,Output Capacity|Hydrogen,2050,463.0,201.0,EUR_2020,1.0,kg/d,,DEARF23,"Sheet 86 AEC 100MW, Row 24"
PEM,1 MW,CAPEX,Output Capacity|Hydrogen,2020,2215.0,497.0,EUR_2020,1.0,kg/d,,DEARF23,"Sheet 86 PEMEC 1MW, Row 24"
PEM,1 MW,CAPEX,Output Capacity|Hydrogen,2030,1378.0,,EUR_2020,1.0,kg/d,,DEARF23,"Sheet 86 PEMEC 1MW, Row 24"
PEM,1 MW,CAPEX,Output Capacity|Hydrogen,2040,919.0,,EUR_2020,1.0,kg/d,,DEARF23,"Sheet 86 PEMEC 1MW, Row 24"
PEM,1 MW,CAPEX,Output Capacity|Hydrogen,2050,788.0,190.0,EUR_2020,1.0,kg/d,,DEARF23,"Sheet 86 PEMEC 1MW, Row 24"
PEM,100 MW,CAPEX,Output Capacity|Hydrogen,2020,2215.0,497.0,EUR_2020,1.0,kg/d,,DEARF23,"Sheet 86 PEMEC 100MW, Row 24"
PEM,100 MW,CAPEX,Output Capacity|Hydrogen,2030,1378.0,,EUR_2020,1.0,kg/d,,DEARF23,"Sheet 86 PEMEC 100MW, Row 24"
PEM,100 MW,CAPEX,Output Capacity|Hydrogen,2040,919.0,,EUR_2020,1.0,kg/d,,DEARF23,"Sheet 86 PEMEC 100MW, Row 24"
PEM,100 MW,CAPEX,Output Capacity|Hydrogen,2050,788.0,190.0,EUR_2020,1.0,kg/d,,DEARF23,"Sheet 86 PEMEC 100MW, Row 24"
SOEC,1 MW,CAPEX,Output Capacity|Hydrogen,2020,8047.0,2163.0,EUR_2020,1.0,kg/d,,DEARF23,"Sheet 86 SOEC 1MW, Row 23"
SOEC,1 MW,CAPEX,Output Capacity|Hydrogen,2030,3279.0,,EUR_2020,1.0,kg/d,,DEARF23,"Sheet 86 SOEC 1MW, Row 23"
SOEC,1 MW,CAPEX,Output Capacity|Hydrogen,2040,2273.0,,EUR_2020,1.0,kg/d,,DEARF23,"Sheet 86 SOEC 1MW, Row 23"
