subtech,mode,type,flow_type,component,region,period,reported_value,reported_unc,reported_unit,reference_value,reference_unit,comment,src_ref,src_comment
bf-bof-post-combustion,,capex,,,,,1330,,USD,,,"Excluding recurring CAPEX. Yearly production of 4Mt. Case 2B: 60% CO2 capture, uses a MEA solvent. Includes casting and rolling","IEAGHG I&S (vol. 2), 2013",Table D-4
bf-bof-post-combustion,,lifetime,,,,,25,,year,,,"Case 2B: 60% CO2 capture, uses a MEA solvent. Includes casting and rolling","IEAGHG I&S (vol. 2), 2013",Annex 4
bf-bof-post-combustion,,fopex_annual,,,,,116.19,,USD,,,"Fixed O&M cost, divided by the production of 4Mt/yr. Case 2B: 60% CO2 capture, uses a MEA solvent. Includes casting and rolling","IEAGHG I&S (vol. 2), 2013",Table D-5
bf-bof-post-combustion,,demand,elec,,,,0.6217,,MWh,,,"Given per ton of hot rolled coil. In the report, natural gas is used. Case 2B: 60% CO2 capture, uses a MEA solvent. Includes casting and rolling","IEAGHG I&S, 2013 (vol. 2)",Table C-3
bf-bof-post-combustion,,demand,steam,,,,4.89,,GJ,,,"TO CHECK ! Is it not included in electricity demand, at least partly ?In the report, natural gas is used for steam generation. Given per ton of hot rolled coil. Case 2B: 60% CO2 capture, uses a MEA solvent. Includes casting and rolling","IEAGHG I&S (vol. 2), 2013",Table C-4
bf-bof-post-combustion,,demand,ironore,,,,1.36,,t,,,"Annex 3, cost breakdown (OPEX) for EOP-L2 case (60% capture), uses a MEA solvent. All data was given in t/y, which we convert in t/tsteel using production of 4Mt/y. Adds up any demand of fines, ore and pellets.","IEAGHG I&S (vol. 2), 2013",Annex 3
bf-bof-post-combustion,,demand,water,,,,87.3,,t,,tCO2,"Given per ton of CO2 captured. Case 2B: 60% CO2 capture, uses a MEA solvent. Includes casting and rolling","IEAGHG I&S (vol. 2), 2013",Table C-2
bf-bof-post-combustion,,demand,coal,,,,0.67,,t,,,"Annex 3, cost breakdown (OPEX) for EOP-L2 case (60% capture, uses a MEA solvent). All data was given in t/y, which we convert in t/tsteel using production of 4Mt/y. Includes coking coal and PCI coal","IEAGHG I&S (vol. 2), 2013",Annex 3
bf-bof-post-combustion,,demand,ng,,,,5.53,,GJ,,,"Annex 3, cost breakdown (OPEX) for EOP-L2 case (60% capture, uses a MEA solvent). All data was given in t/y, which we convert in t/tsteel using production of 4Mt/y. All natural gas is used either for electricity, or steam production.","IEAGHG I&S (vol. 2), 2013",Annex 3
bf-bof-post-combustion,,em,co2,,,,831.42,,kg,,,"Emissions include steam production using ng (cf. Figure D-5). Given per ton of hot rolled coil. Case 2B: 60% CO2 capture, uses a MEA solvent. Includes casting and rolling","IEAGHG I&S (vol. 2), 2013",Table C-7
tgr-bof-post-combustion,,demand,elec,,,,573.4,,kWh,,,"Given per ton of hot rolled coil. In the report, natural gas is used. Case 3, uses a MDEA solvent. Includes casting and rolling","IEAGHG I&S (vol.3), 2013",Table C-8
tgr-bof-post-combustion,,demand,steam,,,,2172.1,,MJ,,,"In the report, natural gas is used for steam generation. Given per ton of hot rolled coil. Case 3, uses a MDEA solvent. Includes casting and rolling","IEAGHG I&S (vol. 3), 2013",Table C-9
tgr-bof-post-combustion,,em,co2,,,,1118.75,,kg,,,"Emissions include steam production using ng (cf. Figure D-5). Given per ton of hot rolled coil. Case 3, uses a MDEA solvent","IEAGHG I&S (vol. 3), 2013",Table C-17
tgr-bof-post-combustion,,capex,,,,,1219,,USD,,,"Excluding recurring CAPEX. Yearly production of 4Mt. Case 3, uses a MDEA solvent. Includes casting and rolling","IEAGHG I&S (vol. 3), 2013",Table D-4
tgr-bof-post-combustion,,demand,coal,,,,0.67,,t,,,"Given per ton of hot rolled coil. All data was given in t/y, which we convert in t/tsteel using production of 4Mt/y. Includes coking coal and PCI coal. Case 3, uses a MDEA solvent.","IEAGHG I&S (vol.3), 2013",Table D-7
tgr-bof-post-combustion,,demand,ng,,,,5.04,,GJ,,,"Given per ton of hot rolled coil. All data was given in t/y, which we convert in t/tsteel using production of 4Mt/y. All natural gas is used either for electricity, or steam production. Case 3, uses a MDEA solvent.","IEAGHG I&S (vol.3), 2013",Table D-8
tgr-bof-post-combustion,,demand,ironore,,,,1.35,,t,,,"Given per ton of hot rolled coil. All data was given in t/y, which we convert in t/tsteel using production of 4Mt/y. Includes fines, lumps and pellets. Case 3, uses a MDEA solvent.","IEAGHG I&S (vol.3), 2013",Table D-9
tgr-bof-post-combustion,,fopex_annual,,,,,111.32,,USD,,,"Fixed O&M cost (constitutes the majority of O&M expenses). Data was given in MUSD/yr, converted using a yearly production of 4Mt. Case 3, uses a MDEA solvent. Includes casting and rolling","IEAGHG I&S (vol. 3), 2013",Table D-15
tgr-bof-post-combustion,,lifetime,,,,,25,,year,,,"Case 3, uses a MDEA solvent. Includes casting and rolling","IEAGHG I&S (vol. 3), 2013",
