subtech,refrigeration,region,variable,distance,period,component,reported_value,reported_unc,reported_unit,reference_value,reference_unit,comment,source,source_detail
shipping,,,CAPEX,,2030,Liquefaction,7265,,EUR,,kg,plant capacity of 100MW (LHV) of methane output,Lux et al. (2021),
shipping,,,FOPEX,,2030,Liquefaction,437,,EUR/a,,kg/a,plant capacity of 100MW (LHV) of methane output,Lux et al. (2021),
shipping,cascade,Trinidad,CAPEX,,2002,Liquefaction,354,,USD,,t/a,process name: ConocoPhillips Optimized Cascade,Zhang et al. (2020),
shipping,cascade,Australia,CAPEX,,2015,Liquefaction,1460,,USD,,t/a,process name: ConocoPhillips Optimized Cascade,Zhang et al. (2020),
shipping,cascade,US,CAPEX,,2019,Liquefaction,1044,,USD,,t/a,process name: ConocoPhillips Optimized Cascade,Zhang et al. (2020),
shipping,mixed refrigerant,Nigeria,CAPEX,,2000,Liquefaction,1283,,USD,,t/a,APCI Propane Precooled Mixed Refrigerant (AP-C3MR),Zhang et al. (2020),
shipping,mixed refrigerant,Omen,CAPEX,,2000,Liquefaction,739,,USD,,t/a,APCI Propane Precooled Mixed Refrigerant (AP-C3MR),Zhang et al. (2020),
shipping,mixed refrigerant,Russia,CAPEX,,2018,Liquefaction,1311,,USD,,t/a,APCI Propane Precooled Mixed Refrigerant (AP-C3MR),Zhang et al. (2020),
shipping,mixed refrigerant,US,CAPEX,,2019,Liquefaction,799,,USD,,t/a,APCI Propane Precooled Mixed Refrigerant (AP-C3MR),Zhang et al. (2020),
shipping,cascade,,FOPEX,,2016,Liquefaction,0.74,,USD/a,,GJ/a,PCI Propane Precooled Mixed Refrigerant (AP-C3MR,Zhang et al. (2020),
shipping,,,CAPEX,,2030,Liquefaction,196,,kEUR,,mcmSNG/a,,Fasihi et al. (2015),
shipping,,,FOPEX Relative,,2030,Liquefaction,3.5,,percent,,,,Fasihi et al. (2015),
shipping,,,Lifetime,,2030,Liquefaction,25,,a,,,,Fasihi et al. (2015),
shipping,,,Efficiency|???,,2030,Liquefaction,93,,percent,,,,Fasihi et al. (2015),
shipping,,,CAPEX,,2030,Regasification,74,,kEUR,,mcmSNG/a,,Fasihi et al. (2015),
shipping,,,FOPEX Relative,,2030,Regasification,3.5,,percent,,,,Fasihi et al. (2015),
shipping,,,Lifetime,,2030,Regasification,30,,a,,,,Fasihi et al. (2015),
shipping,,,Efficiency|???,,2030,Regasification,98.5,,percent,,,,Fasihi et al. (2015),
shipping,,,Total Cost,4000km,2020,Transport,2.571,,EUR,,,,Lux et al. (2021),
shipping,,,Total Cost,2000km,2020,Transport,1.976,,EUR,,,,Lux et al. (2021),
pipeline,,,Total Cost,2000km,2020,Transport,0.17,,EURct,,,including on site compression of up to 80bar,Lux et al. (2021),
pipeline,,,Total Cost,1000km,2020,Transport,0.17,,EURct,,,including on site compression of up to 80bar,Lux et al. (2021),
