variable,reference_variable,period,value,uncertainty,unit,reference_value,reference_unit,comment,source,source_detail
CAPEX,Output Capacity|Liquid Hydrogen,2030,1.4,,MEUR_2021,1,MW;LHV,,Korberg-2021,Table 1
CAPEX,Output Capacity|Liquid Hydrogen,2019,100,,MUSD_2016,27000,kg/day,"HDSAM estimation",Connelly-2019,Figure 2
CAPEX Annualised,Output Capacity|Liquid Hydrogen,2019,1.4,,USD_2016,1,kg/a,"Final value used by report gives CAPEX contribution to LCO, given as 1.4 USD/kg. Not currently compatible with POSTED framework",Connelly-2019,Figure 3 and 5
OPEX Fixed Relative,,2030,5,,percent,,,O&M only,Korberg-2021,Table 1
OPEX Fixed,Output Capacity|Liquid Hydrogen,2025,25,,EUR_2019/a,1,kW;LHV,"Unit mistake for OPEX ? Given as EUR/kW",Grahn-2022,Table 5
OPEX Fixed,Output Capacity|Liquid Hydrogen,2040,25,,EUR_2019/a,1,kW;LHV,"Unit mistake for OPEX ? Given as EUR/kW",Grahn-2022,Table 5
Input|Electricity,Output|Liquid Hydrogen,2018,0.246,,kWh,1,kWh,Supplementary information,Stolz-2022,Table 5
Input|Electricity,Output|Liquid Hydrogen,2025,0.28,,kWh,1,kWh,,Grahn-2022,Table 5
Input|Electricity,Output|Liquid Hydrogen,2040,0.28,,kWh,1,kWh,,Grahn-2022,Table 5
Input|Electricity,Output|Liquid Hydrogen,2030,0.25,,kWh,1,kWh,,Korberg-2021,Table 1
Input|Electricity,Output|Liquid Hydrogen,2019,11.5,,kWh,1,kg,"Read from the figure. But Ghafri-2022 also cite this number from this report in Table 6",Connelly-2019,Figure 3
Lifetime,,2030,30,,year,,,,Korberg-2021,Table 1
